, 3, 1, 6, 5, 7, 5, 5, 5, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 3, 3, 3, 3, 3, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
131282224980,131282237480,131282347896
, 1694846, 13022, 766223, 340282, 22786, 8540, 9271, 9108, 130150, 6440, 92482, 204544, 11897, 6334, 7512, 7056, 7861, 208, 9982, 5034, 705, 614, 585, 670, 44291, 2565, 37281, 90042, 6368, 3400, 3657, 3513, 1703, 38, 2297, 998, 141, 40, 32, 43, 3483, 117, 4905, 2778, 365, 92, 99, 88, 462, 3, 1949, 255, 26, 30, 46, 26, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 30, 14, 0, 0, 0, 0, 7, 0, 2, 2, 0, 0, 0, 0, 0, 0, 244277248, 0, 0, 0, 0, 0, 0, 227279, 424, 227309, 2527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125835, 487, 97777, 16121, 7066, 3170, 1064, 9343, 16092, 4800, 856, 3, 31517, 424, 381, 9, 30, 0, 116199, 119900, 103958, 17863, 17977, 17864, 40785, 805, 4816, 615, 62715, 71743, 26411, 0, 0, 699, 0, 0, 924, 22624, 53, 10024, 139, 11397, 0, 0, 72375, 0, 0, 140, 135, 16968, 35869
, 8, 1, 7, 5, 1, 1, 1, 1, 8, 1, 3, 3, 1, 1, 1, 1, 8, 1, 3, 3, 1, 1, 1, 1, 8, 1, 3, 3, 1, 1, 1, 1, 8, 1, 3, 3, 1, 1, 1, 1, 8, 1, 3, 3, 1, 1, 1, 1, 8, 1, 3, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 3, 3, 1, 1, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
131283297376,131283304667,131283401542
, 2035486, 65145, 351125, 610290, 31292, 27335, 8789, 8829, 79882, 16423, 93714, 281078, 16454, 14315, 7518, 7073, 5701, 1177, 8042, 10571, 1180, 1286, 392, 431, 26938, 6351, 36898, 116960, 8739, 7746, 3761, 3534, 1269, 275, 1203, 2213, 137, 140, 46, 37, 2536, 708, 5555, 5807, 315, 384, 20, 28, 529, 96, 510, 699, 73, 76, 26, 25, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 37, 20, 0, 0, 0, 0, 3, 0, 3, 5, 0, 0, 0, 0, 0, 0, 103440384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 6, 1, 10, 10, 1, 1, 1, 1, 4, 1, 4, 6, 1, 1, 1, 1, 4, 1, 4, 6, 1, 1, 1, 1, 4, 1, 4, 6, 1, 1, 1, 1, 4, 1, 4, 6, 1, 1, 1, 1, 4, 1, 4, 6, 1, 1, 1, 1, 4, 1, 4, 6, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 4, 6, 1, 1, 1, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
131284428626,131284438521,131284605709
, 581518, 26632, 1482854, 46136, 27124, 16853, 17948, 14275, 278482, 13049, 550638, 21438, 14049, 6583, 7438, 7217, 11011, 680, 74121, 1577, 311, 310, 332, 297, 117001, 5307, 151698, 6987, 7427, 3524, 3861, 3727, 2323, 145, 11031, 358, 41, 51, 41, 44, 5387, 390, 3281, 841, 33, 41, 14, 16, 454, 9, 3411, 20, 52, 60, 51, 68, 0, 0, 0, 0, 0, 0, 0, 0, 56, 2, 51, 0, 0, 0, 0, 0, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 7299072, 0, 0, 0, 0, 0, 0, 287097, 969, 287100, 3851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 501075, 413, 427469, 48594, 14707, 6586, 2660, 38036, 74549, 10684, 30, 7, 125253, 599, 555, 23, 24, 0, 286647, 287102, 287102, 0, 0, 0, 62511, 995, 20709, 3, 200316, 165909, 41478, 0, 0, 3, 0, 0, 167, 62279, 1, 41423, 9, 44701, 0, 0, 166271, 0, 0, 323, 323, 0, 82956
, 10, 2, 4, 1, 1, 1, 1, 1, 8, 2, 2, 1, 1, 1, 1, 1, 8, 2, 2, 1, 1, 1, 1, 1, 8, 2, 2, 1, 1, 1, 1, 1, 8, 2, 2, 1, 1, 1, 1, 1, 8, 2, 2, 1, 1, 1, 1, 1, 8, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 2, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
